                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0279,                 2.2251,                 1.4364,                 1.2767,                0.78003,                0.69627,                0.75844,                0.47876,                0.79099,                0.62035,                0.68268,                0.36012,                 1.2803,                 2.5011,                 1.5661,                  1.692,             0.00066482,             0.00066482,             0.00066482
                      2,                 1.1377,                 2.2663,                  1.152,                 1.3404,                0.66559,                0.65753,                0.66568,                0.39454,                0.66767,                0.62251,                0.61572,                0.34011,                 1.4009,                 2.5248,                 1.5104,                  1.729,              0.0012875,              0.0012875,              0.0012875
                      3,                 1.1522,                 2.3095,                 1.0889,                 1.3431,                0.79478,                0.73264,                0.77642,                0.50216,                0.77731,                0.68493,                0.72393,                0.38529,                 1.2671,                 2.4467,                 1.2213,                 1.6364,              0.0018663,              0.0018663,              0.0018663
                      4,                 1.1154,                 2.2515,                 1.0438,                 1.3229,                0.81565,                0.72154,                0.81093,                0.56298,                0.81723,                0.68833,                0.77595,                0.45332,                  1.095,                  2.236,                 1.0531,                  1.467,               0.001802,               0.001802,               0.001802
                      5,                 1.0594,                 2.1821,                0.96646,                 1.2912,                0.85565,                0.75784,                0.82991,                0.58393,                 0.8553,                0.73646,                0.79987,                 0.4843,                 1.0721,                 2.0472,                0.94853,                 1.4334,               0.001736,               0.001736,               0.001736
                      6,                 1.0207,                 2.1102,                0.92563,                 1.2716,                0.87444,                0.81931,                0.87844,                0.63593,                0.85217,                0.78211,                0.83249,                0.52278,                 1.0112,                 1.9319,                0.84723,                 1.3735,                0.00167,                0.00167,                0.00167
                      7,                 1.0019,                 2.0752,                 0.8873,                 1.2564,                 0.8639,                0.80742,                0.87216,                0.63802,                0.84064,                0.78111,                0.82961,                0.52049,                0.96726,                 1.9601,                0.83745,                 1.3328,               0.001604,               0.001604,               0.001604
                      8,                0.97921,                 2.0527,                0.87108,                 1.2456,                0.87238,                0.81409,                0.87151,                0.64339,                0.86129,                0.78735,                0.83732,                0.52355,                 0.9572,                 1.9677,                0.84342,                 1.3385,               0.001538,               0.001538,               0.001538
                      9,                 0.9588,                 2.0348,                0.85259,                  1.235,                0.88496,                0.80626,                0.86777,                0.64006,                0.87067,                0.77365,                0.82491,                0.51943,                0.94883,                 1.9179,                0.89063,                 1.3267,               0.001472,               0.001472,               0.001472
                     10,                0.93079,                 1.9609,                0.81506,                 1.2192,                0.88527,                0.83049,                0.88909,                0.65699,                0.85624,                  0.803,                0.84473,                0.53314,                0.93911,                 1.8697,                0.75233,                 1.3217,               0.001406,               0.001406,               0.001406
                     11,                 0.9246,                 1.9796,                0.80439,                 1.2115,                0.88863,                 0.8304,                0.89347,                0.65637,                0.88305,                0.79256,                0.85206,                 0.5282,                0.91511,                 1.9091,                0.72312,                 1.3212,                0.00134,                0.00134,                0.00134
                     12,                0.91688,                 1.9281,                0.78736,                 1.2081,                0.88213,                0.81525,                0.88599,                0.66991,                0.87471,                0.79242,                0.86672,                0.55777,                0.89839,                 1.8079,                0.75401,                  1.284,               0.001274,               0.001274,               0.001274
                     13,                0.89268,                 1.9146,                0.76848,                 1.1954,                0.91406,                0.82975,                 0.9038,                0.69352,                 0.9008,                0.81151,                0.87427,                0.56949,                0.87916,                 1.7716,                0.68936,                 1.2513,               0.001208,               0.001208,               0.001208
                     14,                0.88287,                 1.8738,                0.75322,                 1.1884,                0.87263,                0.83692,                0.89284,                 0.6896,                0.87616,                0.81083,                0.87319,                0.57858,                0.85811,                 1.7303,                0.69673,                 1.2467,               0.001142,               0.001142,               0.001142
                     15,                0.87326,                 1.8741,                0.74819,                 1.1841,                0.90159,                0.85062,                0.89474,                0.68457,                 0.8939,                0.83888,                 0.8769,                0.57398,                0.84541,                 1.6921,                0.69175,                 1.2251,               0.001076,               0.001076,               0.001076
